name,url
Stargate Finance,https://coinmarketcap.com/currencies/stargate-finance/
Ampleforth Governance Token,https://coinmarketcap.com/currencies/ampleforth-governance-token/
Alien Worlds,https://coinmarketcap.com/currencies/alien-worlds/
XYO,https://coinmarketcap.com/currencies/xyo/
DFI.Money,https://coinmarketcap.com/currencies/yearn-finance-ii/
Venus,https://coinmarketcap.com/currencies/venus/
MaidSafeCoin,https://coinmarketcap.com/currencies/maidsafecoin/
STP,https://coinmarketcap.com/currencies/standard-tokenization-protocol/
Origin Protocol,https://coinmarketcap.com/currencies/origin-protocol/
StormX,https://coinmarketcap.com/currencies/stormx/
Coin98,https://coinmarketcap.com/currencies/coin98/
Origin Dollar,https://coinmarketcap.com/currencies/origin-dollar/
Metal DAO,https://coinmarketcap.com/currencies/metal/
Chrono.tech,https://coinmarketcap.com/currencies/chrono-tech/
Revain,https://coinmarketcap.com/currencies/revain/
Dero,https://coinmarketcap.com/currencies/dero/
Galxe,https://coinmarketcap.com/currencies/galxe/
Sun (New),https://coinmarketcap.com/currencies/sun-token/
ASD,https://coinmarketcap.com/currencies/bitmax-token/
Clash of Lilliput,https://coinmarketcap.com/currencies/clash-of-lilliput/
Efinity Token,https://coinmarketcap.com/currencies/efinity/
Utrust,https://coinmarketcap.com/currencies/utrust/
Seedify.fund,https://coinmarketcap.com/currencies/seedify-fund/
DODO,https://coinmarketcap.com/currencies/dodo/
Uquid Coin,https://coinmarketcap.com/currencies/uquid-coin/
RSK Infrastructure Framework,https://coinmarketcap.com/currencies/rsk-infrastructure-framework/
VeThor Token,https://coinmarketcap.com/currencies/vethor-token/
Chainbing,https://coinmarketcap.com/currencies/chainbing/
Dawn Protocol,https://coinmarketcap.com/currencies/dawn-protocol/
MARBLEX,https://coinmarketcap.com/currencies/marblex/
AXEL,https://coinmarketcap.com/currencies/axel/
Moonriver,https://coinmarketcap.com/currencies/moonriver/
Beta Finance,https://coinmarketcap.com/currencies/beta-finance/
Adshares,https://coinmarketcap.com/currencies/adshares/
Aavegotchi,https://coinmarketcap.com/currencies/aavegotchi/
Alchemy Pay,https://coinmarketcap.com/currencies/alchemy-pay/
Verge,https://coinmarketcap.com/currencies/verge/
ONUS,https://coinmarketcap.com/currencies/onus/
Aergo,https://coinmarketcap.com/currencies/aergo/
Saitama,https://coinmarketcap.com/currencies/saitama-inu-new/
Divi,https://coinmarketcap.com/currencies/divi/
Ark,https://coinmarketcap.com/currencies/ark/
H2O DAO,https://coinmarketcap.com/currencies/h2o-dao/
Badger DAO,https://coinmarketcap.com/currencies/badger-dao/
Celo Dollar,https://coinmarketcap.com/currencies/celo-dollar/
RSS3,https://coinmarketcap.com/currencies/rss3/
SOMESING,https://coinmarketcap.com/currencies/somesing/
MovieBloc,https://coinmarketcap.com/currencies/moviebloc/
Enzyme,https://coinmarketcap.com/currencies/enzyme/
Battle World,https://coinmarketcap.com/currencies/battle-world/
Marlin,https://coinmarketcap.com/currencies/marlin/
GlitzKoin,https://coinmarketcap.com/currencies/glitzkoin/
Wirex Token,https://coinmarketcap.com/currencies/wirex-token/
Perpetual Protocol,https://coinmarketcap.com/currencies/perpetual-protocol/
mStable USD,https://coinmarketcap.com/currencies/mstable-usd/
Axelar,https://coinmarketcap.com/currencies/axelar/
Metadium,https://coinmarketcap.com/currencies/metadium/
MyNeighborAlice,https://coinmarketcap.com/currencies/myneighboralice/
Telos,https://coinmarketcap.com/currencies/telos/
sUSD,https://coinmarketcap.com/currencies/susd/
Electroneum,https://coinmarketcap.com/currencies/electroneum/
Aurora,https://coinmarketcap.com/currencies/aurora-near/
SuperVerse,https://coinmarketcap.com/currencies/superfarm/
Cocos-BCX,https://coinmarketcap.com/currencies/cocos-bcx/
Strike,https://coinmarketcap.com/currencies/strike/
Bloktopia,https://coinmarketcap.com/currencies/bloktopia/
XSGD,https://coinmarketcap.com/currencies/xsgd/
Ankr Reward Bearing Staked ETH,https://coinmarketcap.com/currencies/ankreth/
Polkastarter,https://coinmarketcap.com/currencies/polkastarter/
DeFi Pulse Index,https://coinmarketcap.com/currencies/defi-pulse-index/
ThunderCore,https://coinmarketcap.com/currencies/thundercore/
BarnBridge,https://coinmarketcap.com/currencies/barnbridge/
PlatON,https://coinmarketcap.com/currencies/platon/
S.S. Lazio Fan Token,https://coinmarketcap.com/currencies/lazio-fan-token/
PlatON,https://coinmarketcap.com/currencies/platon/
HedgeTrade,https://coinmarketcap.com/currencies/hedgetrade/
Dusk Network,https://coinmarketcap.com/currencies/dusk-network/
Automata Network,https://coinmarketcap.com/currencies/automata-network/
Rally,https://coinmarketcap.com/currencies/rally/
ARPA,https://coinmarketcap.com/currencies/arpa-chain/
CONUN,https://coinmarketcap.com/currencies/conun/
Alpaca Finance,https://coinmarketcap.com/currencies/alpaca-finance/
XCAD Network,https://coinmarketcap.com/currencies/xcad-network/
Celo Euro,https://coinmarketcap.com/currencies/celo-euro/
HUSD,https://coinmarketcap.com/currencies/husd/
Toko Token,https://coinmarketcap.com/currencies/tokocrypto/
smARTOFGIVING,https://coinmarketcap.com/currencies/smartofgiving/
Boba Network,https://coinmarketcap.com/currencies/boba-network/
NvirWorld,https://coinmarketcap.com/currencies/nvirworld/
WhiteCoin,https://coinmarketcap.com/currencies/whitecoin/
Gods Unchained,https://coinmarketcap.com/currencies/gods-unchained/
Terran Coin,https://coinmarketcap.com/currencies/terran-coin/
Cortex,https://coinmarketcap.com/currencies/cortex/
UFO Gaming,https://coinmarketcap.com/currencies/ufo-gaming/
Mines of Dalarnia,https://coinmarketcap.com/currencies/mines-of-dalarnia/
CoinEx Token,https://coinmarketcap.com/currencies/coinex-token/
Metacraft,https://coinmarketcap.com/currencies/metacraft/
Metars Genesis,https://coinmarketcap.com/currencies/metars-genesis/
BakeryToken,https://coinmarketcap.com/currencies/bakerytoken/
Vega Protocol,https://coinmarketcap.com/currencies/vegaprotocol/
Venus USDT,https://coinmarketcap.com/currencies/venus-usdt/
Propy,https://coinmarketcap.com/currencies/propy/
Efforce,https://coinmarketcap.com/currencies/efforce/
Neblio,https://coinmarketcap.com/currencies/neblio/
LTO Network,https://coinmarketcap.com/currencies/lto-network/
Wanchain,https://coinmarketcap.com/currencies/wanchain/
TrueFi,https://coinmarketcap.com/currencies/truefi-token/
Freeway Token,https://coinmarketcap.com/currencies/freeway-token/
Keep3rV1,https://coinmarketcap.com/currencies/keep3rv1/
Verasity,https://coinmarketcap.com/currencies/verasity/
IDEX,https://coinmarketcap.com/currencies/idex/
Litentry,https://coinmarketcap.com/currencies/litentry/
Ethernity,https://coinmarketcap.com/currencies/ethernity-chain/
Tellor,https://coinmarketcap.com/currencies/tellor/
Travala.com,https://coinmarketcap.com/currencies/travala/
League of Kingdoms Arena,https://coinmarketcap.com/currencies/league-of-kingdoms/
